order_id,customer_id,product_name,category,price,quantity,payment_method,rating,purchase_date,return_flag,total_spent
6CE225F4,C57738,Hand Sanitizer,Kesehatan,"254,839.00",2,COD,4,02/01/2023,0,509678
CD5807C0,C73681,Charger Type-C,Elektronik,"449,983.00",3,COD,2,02/01/2023,0,1349949
A1E340A6,C13053,Hand Sanitizer,Kesehatan,"20,117.00",2,ShopeePay,3,02/01/2023,0,40234
0A6A0D3E,C64661,Puzzle 1000pcs,Mainan,"274,181.00",2,Transfer Bank,4,02/01/2023,0,548362
D58615FE,C77498,Smartwatch,Elektronik,"181,388.00",2,GoPay,1,02/01/2023,0,362776
F73D6661,C69325,Headphone Bluetooth,Elektronik,"486,561.00",3,Kartu Kredit,3,02/01/2023,0,1459683
96192F86,C49118,Set Pisau Dapur,Rumah Tangga,"247,167.00",3,Kartu Kredit,2,02/01/2023,0,741501
077D51BF,C70500,GPS Tracker,Otomotif,"181,072.00",1,COD,3,02/01/2023,0,181072
070EFC2B,C97908,Vitamin C,Kesehatan,"381,643.00",2,Transfer Bank,3,02/01/2023,0,763286
757E7769,C97778,Sarung Jok,Otomotif,"483,782.00",2,COD,4,02/01/2023,0,967564
4B5E1E56,C62256,Hand Sanitizer,Kesehatan,"68,877.00",1,ShopeePay,1,02/01/2023,0,68877
F4274518,C68430,RC Car,Mainan,"324,837.00",1,COD,4,02/01/2023,0,324837
D28666C6,C92481,Lipstik Matte,Kecantikan,"296,929.00",1,GoPay,2,02/01/2023,0,296929
C2BCC4C3,C46505,Baju Oversize,Fashion,"252,800.00",2,Transfer Bank,2,02/01/2023,0,505600
DBFBFD09,C67429,Baju Oversize,Fashion,"191,270.00",2,Transfer Bank,1,02/01/2023,0,382540
E4A1C147,C75443,Skincare Toner,Kecantikan,"50,087.00",2,Kartu Kredit,1,02/01/2023,0,100174
B5889CA2,C74792,Alat Vakum Mini,Otomotif,"200,919.00",2,ShopeePay,2,02/01/2023,0,401838
A7E8343B,C59142,Puzzle 1000pcs,Mainan,"88,582.00",3,Transfer Bank,3,02/01/2023,0,265746
63CF83D3,C54938,Sunscreen SPF50,Kecantikan,"389,090.00",1,Kartu Kredit,3,02/01/2023,0,389090
9ACE7643,C94590,Alat Vakum Mini,Otomotif,"55,056.00",1,Kartu Kredit,3,02/01/2023,0,55056
5.73E+06,C80737,GPS Tracker,Otomotif,"113,105.00",2,Transfer Bank,5,03/01/2023,0,226210
88D35B73,C41991,Granola,Makanan & Minuman,"127,915.00",2,COD,3,03/01/2023,0,255830
356D372D,C55457,Vitamin C,Kesehatan,"294,679.00",2,Transfer Bank,4,03/01/2023,0,589358
2A431F4D,C30144,Sarung Jok,Otomotif,"81,024.00",3,COD,4,03/01/2023,0,243072
08A54CA9,C56920,Masker KF94,Kesehatan,"429,040.00",1,Kartu Kredit,5,03/01/2023,0,429040
3A34D9EE,C13353,Coklat Bubuk,Makanan & Minuman,"20,265.00",3,Kartu Kredit,3,03/01/2023,0,60795
46F355F3,C48150,Pengharum Mobil,Otomotif,"283,172.00",3,COD,3,03/01/2023,0,849516
28D966F3,C98396,Skincare Toner,Kecantikan,"70,606.00",2,COD,5,03/01/2023,0,141212
37FE44D6,C55222,Skincare Toner,Kecantikan,"347,204.00",1,Kartu Kredit,3,03/01/2023,0,347204
8C114C15,C10454,Lipstik Matte,Kecantikan,"434,272.00",1,Transfer Bank,1,03/01/2023,0,434272
3EB5E8C9,C80965,RC Car,Mainan,"138,478.00",2,COD,4,03/01/2023,0,276956
046FEA77,C83654,Dispenser Sabun,Rumah Tangga,"442,292.00",3,Kartu Kredit,1,03/01/2023,0,1326876
D243E5F3,C85933,Celana Jogger,Fashion,"41,289.00",1,GoPay,5,03/01/2023,0,41289
25EE3E2F,C37450,Boneka Anime,Mainan,"202,781.00",3,ShopeePay,5,03/01/2023,0,608343
2AB22D80,C48828,Granola,Makanan & Minuman,"165,727.00",2,Transfer Bank,2,03/01/2023,0,331454
198891A2,C44617,Skincare Toner,Kecantikan,"369,810.00",2,GoPay,1,03/01/2023,0,739620
8B366BB5,C69871,Hijab,Fashion,"429,394.00",2,Transfer Bank,1,03/01/2023,0,858788
043CD13B,C74452,Lipstik Matte,Kecantikan,"116,888.00",2,COD,3,03/01/2023,0,233776
85849A23,C33217,Dispenser Sabun,Rumah Tangga,"433,087.00",2,GoPay,5,03/01/2023,1,866174
1DD6FE93,C21931,Lipstik Matte,Kecantikan,"383,586.00",1,ShopeePay,2,03/01/2023,0,383586
6D638698,C58241,Foundation,Kecantikan,"362,005.00",3,ShopeePay,3,04/01/2023,0,1086015
284F3C27,C93044,Sarung Jok,Otomotif,"100,819.00",2,Kartu Kredit,4,04/01/2023,0,201638
5FD0EC96,C92027,Kopi Literan,Makanan & Minuman,"48,848.00",3,Transfer Bank,5,04/01/2023,0,146544
9256D29B,C46659,Granola,Makanan & Minuman,"449,793.00",3,ShopeePay,1,04/01/2023,1,1349379
831BD759,C99000,Alat Vakum Mini,Otomotif,"245,370.00",1,ShopeePay,2,04/01/2023,0,245370
DB34EE7C,C22129,Boneka Anime,Mainan,"220,208.00",1,Kartu Kredit,3,04/01/2023,0,220208
E4AEEA55,C52973,Foundation,Kecantikan,"22,935.00",2,COD,3,04/01/2023,0,45870
157A3E16,C25749,Headphone Bluetooth,Elektronik,"461,677.00",1,Kartu Kredit,3,04/01/2023,0,461677
EEBF9605,C58791,Sunscreen SPF50,Kecantikan,"18,300.00",1,ShopeePay,3,04/01/2023,0,18300
30F4763B,C37089,RC Car,Mainan,"148,256.00",2,GoPay,5,04/01/2023,0,296512
F4DB6C11,C30092,Headphone Bluetooth,Elektronik,"39,930.00",2,Transfer Bank,5,04/01/2023,0,79860
0B6572A0,C11574,Wajan Anti Lengket,Rumah Tangga,"283,069.00",2,Kartu Kredit,2,04/01/2023,0,566138
1FA05288,C77835,Vitamin C,Kesehatan,"482,131.00",2,COD,3,04/01/2023,0,964262
1CC74C3A,C75776,Headphone Bluetooth,Elektronik,"276,377.00",2,COD,3,04/01/2023,0,552754
0C72C13D,C84534,Coklat Bubuk,Makanan & Minuman,"87,667.00",2,COD,2,04/01/2023,0,175334
C9A927FD,C34190,Wajan Anti Lengket,Rumah Tangga,"76,434.00",1,ShopeePay,4,04/01/2023,0,76434
6B43973F,C39904,Celana Jogger,Fashion,"108,352.00",1,ShopeePay,3,04/01/2023,0,108352
078C4FB2,C52703,Masker KF94,Kesehatan,"353,074.00",3,Kartu Kredit,2,04/01/2023,0,1059222
A0750F46,C91091,Power Bank,Elektronik,"377,255.00",1,ShopeePay,5,04/01/2023,0,377255
D10ADB4E,C67118,Sunscreen SPF50,Kecantikan,"464,776.00",1,ShopeePay,4,04/01/2023,0,464776
ADAD2BC3,C74187,RC Car,Mainan,"177,338.00",3,GoPay,2,04/01/2023,0,532014
C1B00C32,C28461,Charger Type-C,Elektronik,"340,097.00",3,COD,2,05/01/2023,0,1020291
98BCE228,C79393,Hijab,Fashion,"221,727.00",3,GoPay,1,05/01/2023,0,665181
FFF1F599,C31749,Hijab,Fashion,"145,069.00",2,GoPay,4,05/01/2023,0,290138
23B80172,C13465,Lipstik Matte,Kecantikan,"370,374.00",2,COD,4,05/01/2023,0,740748
73E81446,C70628,Alat Vakum Mini,Otomotif,"341,224.00",3,ShopeePay,3,05/01/2023,0,1023672
F5CE6E03,C26883,Masker KF94,Kesehatan,"54,841.00",1,COD,4,05/01/2023,0,54841
3862071,C47473,Alat Vakum Mini,Otomotif,"477,738.00",2,Kartu Kredit,5,05/01/2023,0,955476
F129C880,C14851,Charger Type-C,Elektronik,"65,192.00",2,GoPay,5,05/01/2023,0,130384
EEDF72D9,C52026,Headphone Bluetooth,Elektronik,"323,706.00",3,ShopeePay,3,05/01/2023,0,971118
67B5A1D4,C26344,Coklat Bubuk,Makanan & Minuman,"352,823.00",1,GoPay,2,05/01/2023,0,352823
FCA9632B,C68239,Pengharum Mobil,Otomotif,"202,381.00",1,Kartu Kredit,5,05/01/2023,0,202381
6895C559,C95982,Vitamin C,Kesehatan,"217,133.00",3,Transfer Bank,5,05/01/2023,0,651399
31914477,C31923,Puzzle 1000pcs,Mainan,"289,925.00",3,ShopeePay,5,05/01/2023,0,869775
46E88F91,C33748,RC Car,Mainan,"276,606.00",2,COD,2,05/01/2023,0,553212
420FF58D,C38488,Foundation,Kecantikan,"424,136.00",2,ShopeePay,5,05/01/2023,1,848272
20CFB14D,C31615,Foundation,Kecantikan,"317,284.00",2,GoPay,4,05/01/2023,0,634568
E592DFB8,C90107,Hand Sanitizer,Kesehatan,"61,215.00",3,GoPay,5,05/01/2023,0,183645
C37875F3,C60814,Alat Vakum Mini,Otomotif,"497,013.00",1,GoPay,3,05/01/2023,0,497013
7B88626B,C40859,Tempat Sampah Mini,Rumah Tangga,"479,849.00",2,ShopeePay,1,05/01/2023,0,959698
B30984DB,C73251,Power Bank,Elektronik,"378,840.00",2,GoPay,5,05/01/2023,0,757680
AAE642BA,C35999,Vitamin C,Kesehatan,"321,989.00",1,ShopeePay,2,05/01/2023,0,321989
C800E75F,C72196,GPS Tracker,Otomotif,"422,161.00",1,GoPay,4,05/01/2023,0,422161
167C8143,C31950,Power Bank,Elektronik,"60,130.00",1,COD,5,05/01/2023,0,60130
AD5CAD86,C43000,Lipstik Matte,Kecantikan,"354,419.00",2,Kartu Kredit,3,05/01/2023,0,708838
F0AFA71E,C34961,Tempat Sampah Mini,Rumah Tangga,"410,327.00",3,GoPay,2,05/01/2023,0,1230981
5CF1DC98,C97488,Termometer Digital,Kesehatan,"141,147.00",1,Kartu Kredit,2,06/01/2023,0,141147
6A18DC11,C17144,Set Pisau Dapur,Rumah Tangga,"294,561.00",1,Kartu Kredit,3,06/01/2023,0,294561
0CB1D2F3,C21593,Pengharum Mobil,Otomotif,"200,458.00",1,ShopeePay,2,06/01/2023,0,200458
6FE75CC2,C53682,Foundation,Kecantikan,"141,717.00",2,Transfer Bank,2,06/01/2023,0,283434
0B1499AF,C24872,Mie Instan Premium,Makanan & Minuman,"143,799.00",2,COD,1,06/01/2023,0,287598
BC4EF618,C36878,RC Car,Mainan,"229,512.00",1,ShopeePay,5,06/01/2023,0,229512
B24B9E66,C12570,Puzzle 1000pcs,Mainan,"329,704.00",3,Kartu Kredit,3,06/01/2023,0,989112
2E12E0BE,C27367,Set Pisau Dapur,Rumah Tangga,"300,360.00",2,Transfer Bank,4,06/01/2023,0,600720
84CDDD90,C84580,Baju Oversize,Fashion,"276,616.00",3,Transfer Bank,3,06/01/2023,0,829848
0EF6E0EE,C89757,Celana Jogger,Fashion,"37,027.00",3,COD,5,06/01/2023,0,111081
1F489AD3,C56590,Hand Sanitizer,Kesehatan,"314,707.00",3,COD,1,06/01/2023,0,944121
9EDED213,C21089,Mie Instan Premium,Makanan & Minuman,"316,420.00",2,ShopeePay,3,06/01/2023,0,632840
D88B7416,C40853,Alat Vakum Mini,Otomotif,"369,197.00",3,Transfer Bank,3,06/01/2023,0,1107591
B28EE6EA,C55697,Tempat Sampah Mini,Rumah Tangga,"406,066.00",1,COD,2,06/01/2023,0,406066
0A0913CD,C65919,Boneka Anime,Mainan,"90,422.00",3,COD,2,06/01/2023,0,271266
52C53DB4,C30663,Sunscreen SPF50,Kecantikan,"118,226.00",2,COD,2,06/01/2023,0,236452
39A8C0DE,C62115,Mainan Edukasi,Mainan,"306,347.00",2,ShopeePay,3,06/01/2023,0,612694
CA9D6EB4,C94723,Puzzle 1000pcs,Mainan,"226,823.00",3,GoPay,1,06/01/2023,0,680469
D5339C62,C66181,Charger Type-C,Elektronik,"119,211.00",2,ShopeePay,1,06/01/2023,0,238422
B74A6A5C,C35873,Mainan Edukasi,Mainan,"345,361.00",3,ShopeePay,3,06/01/2023,0,1036083
18B95466,C19809,Sunscreen SPF50,Kecantikan,"18,713.00",2,ShopeePay,3,06/01/2023,0,37426
2BC7F8CC,C48078,Mainan Edukasi,Mainan,"276,814.00",3,ShopeePay,1,06/01/2023,0,830442
474CB595,C40633,Hand Sanitizer,Kesehatan,"446,096.00",3,GoPay,2,06/01/2023,0,1338288
7F46DAA6,C17586,Coklat Bubuk,Makanan & Minuman,"343,748.00",3,GoPay,1,06/01/2023,0,1031244
8FC79389,C73805,Vitamin C,Kesehatan,"485,282.00",2,COD,2,06/01/2023,0,970564
CD2D1BE8,C34367,Coklat Bubuk,Makanan & Minuman,"188,273.00",1,GoPay,4,06/01/2023,1,188273
5DF699E2,C31865,Termometer Digital,Kesehatan,"233,205.00",3,Kartu Kredit,1,07/01/2023,0,699615
0A9CADFF,C54772,Baju Oversize,Fashion,"254,735.00",3,GoPay,5,07/01/2023,1,764205
357E30DC,C42205,Puzzle 1000pcs,Mainan,"93,928.00",2,Transfer Bank,1,07/01/2023,0,187856
D9065C59,C68758,Hijab,Fashion,"371,882.00",3,ShopeePay,2,07/01/2023,0,1115646
C22A67BA,C80959,Foundation,Kecantikan,"352,395.00",3,Kartu Kredit,3,07/01/2023,1,1057185
C07E3A64,C50110,Celana Jogger,Fashion,"353,941.00",3,Kartu Kredit,2,07/01/2023,0,1061823
57A0EAA0,C51476,Mainan Edukasi,Mainan,"116,801.00",1,Transfer Bank,5,07/01/2023,0,116801
20CC16AE,C21507,Boneka Anime,Mainan,"287,982.00",1,Kartu Kredit,1,07/01/2023,0,287982
6C9911AC,C78492,Skincare Toner,Kecantikan,"56,945.00",3,ShopeePay,2,07/01/2023,0,170835
F6313700,C21027,Masker KF94,Kesehatan,"410,166.00",2,ShopeePay,4,07/01/2023,0,820332
9A1CA13F,C36588,Foundation,Kecantikan,"151,956.00",1,Transfer Bank,3,07/01/2023,0,151956
33D81D9C,C79539,Skincare Toner,Kecantikan,"300,158.00",2,COD,2,07/01/2023,0,600316
6786D7AA,C57209,Lipstik Matte,Kecantikan,"144,836.00",2,ShopeePay,1,07/01/2023,0,289672
012671CE,C91444,Set Pisau Dapur,Rumah Tangga,"430,350.00",1,Transfer Bank,1,07/01/2023,0,430350
07474EF2,C46790,Boneka Anime,Mainan,"308,782.00",2,Transfer Bank,1,07/01/2023,0,617564
4D705055,C28151,Kopi Literan,Makanan & Minuman,"449,605.00",2,Transfer Bank,1,07/01/2023,0,899210
593CF033,C16714,Power Bank,Elektronik,"58,815.00",2,Transfer Bank,5,07/01/2023,0,117630
F901D27F,C82824,Wajan Anti Lengket,Rumah Tangga,"147,235.00",3,Transfer Bank,2,07/01/2023,1,441705
AEFC538F,C97389,Puzzle 1000pcs,Mainan,"353,457.00",2,Transfer Bank,3,07/01/2023,0,706914
EE2ECD1C,C58692,Power Bank,Elektronik,"28,282.00",1,ShopeePay,5,07/01/2023,0,28282
02F37354,C65269,Mie Instan Premium,Makanan & Minuman,"296,677.00",3,GoPay,5,08/01/2023,0,890031
D6F6EC25,C84076,Mie Instan Premium,Makanan & Minuman,"429,440.00",2,Transfer Bank,3,08/01/2023,0,858880
21A720C3,C28576,Hand Sanitizer,Kesehatan,"400,968.00",3,Kartu Kredit,5,08/01/2023,0,1202904
2567B7DD,C11547,Tempat Sampah Mini,Rumah Tangga,"463,204.00",1,Kartu Kredit,4,08/01/2023,0,463204
5FA4F34C,C51374,Granola,Makanan & Minuman,"229,099.00",3,Transfer Bank,3,08/01/2023,0,687297
8893BD18,C88398,Hand Sanitizer,Kesehatan,"278,575.00",2,ShopeePay,3,08/01/2023,0,557150
C57DF74D,C60862,Charger Type-C,Elektronik,"193,757.00",1,ShopeePay,3,08/01/2023,0,193757
CDD34DBA,C70133,Power Bank,Elektronik,"433,841.00",3,GoPay,1,08/01/2023,0,1301523
65F807C4,C76446,Hand Sanitizer,Kesehatan,"183,663.00",3,GoPay,2,08/01/2023,0,550989
B71F1F85,C61466,Mainan Edukasi,Mainan,"464,826.00",3,ShopeePay,5,08/01/2023,0,1394478
A98BD5B9,C16030,Foundation,Kecantikan,"417,437.00",3,Transfer Bank,5,08/01/2023,0,1252311
DEAFFBE1,C44527,Boneka Anime,Mainan,"468,211.00",1,Kartu Kredit,3,08/01/2023,0,468211
7D7C79F1,C23747,Masker KF94,Kesehatan,"20,671.00",1,COD,5,08/01/2023,0,20671
D8DED5FB,C13666,Baju Oversize,Fashion,"492,967.00",3,Kartu Kredit,5,08/01/2023,0,1478901
EE4A7CE8,C84667,Granola,Makanan & Minuman,"443,956.00",2,ShopeePay,5,08/01/2023,0,887912
715DCA20,C25891,RC Car,Mainan,"228,256.00",1,COD,5,08/01/2023,0,228256
6509533B,C49124,Wajan Anti Lengket,Rumah Tangga,"312,495.00",3,COD,3,08/01/2023,1,937485
035BC558,C82601,Foundation,Kecantikan,"223,431.00",3,ShopeePay,1,09/01/2023,0,670293
45498DCC,C42116,Smartwatch,Elektronik,"378,778.00",2,ShopeePay,4,09/01/2023,0,757556
B0C305CF,C75867,Termometer Digital,Kesehatan,"128,315.00",3,Kartu Kredit,2,09/01/2023,0,384945
8038895F,C50014,Puzzle 1000pcs,Mainan,"353,652.00",2,Transfer Bank,4,09/01/2023,0,707304
6078ECB4,C86541,Termometer Digital,Kesehatan,"437,555.00",1,GoPay,1,09/01/2023,0,437555
9DDF397C,C51804,Granola,Makanan & Minuman,"284,992.00",3,Transfer Bank,2,09/01/2023,0,854976
60612EBB,C89687,Hijab,Fashion,"430,006.00",1,Kartu Kredit,2,09/01/2023,0,430006
1E50792D,C31602,Headphone Bluetooth,Elektronik,"301,028.00",3,COD,3,09/01/2023,0,903084
C9FAAC62,C83021,Wajan Anti Lengket,Rumah Tangga,"413,878.00",2,ShopeePay,1,09/01/2023,0,827756
A55D6BCA,C46346,Alat Vakum Mini,Otomotif,"78,162.00",1,ShopeePay,5,09/01/2023,0,78162
639B2B8B,C54816,Masker KF94,Kesehatan,"392,955.00",2,Kartu Kredit,3,09/01/2023,0,785910
4DDAB4D9,C74760,GPS Tracker,Otomotif,"168,596.00",2,Transfer Bank,3,09/01/2023,0,337192
4A2EF0AA,C47955,Lipstik Matte,Kecantikan,"31,016.00",1,Kartu Kredit,5,09/01/2023,0,31016
463F1232,C96509,Lipstik Matte,Kecantikan,"395,980.00",1,Kartu Kredit,1,09/01/2023,0,395980
B67AEC02,C31656,Dispenser Sabun,Rumah Tangga,"404,586.00",1,Kartu Kredit,4,09/01/2023,0,404586
C43CE964,C50452,Hoodie Polos,Fashion,"83,025.00",1,GoPay,4,09/01/2023,0,83025
9BE0D574,C64873,Baju Oversize,Fashion,"381,618.00",3,ShopeePay,2,09/01/2023,0,1144854
2C7539BE,C65740,Foundation,Kecantikan,"31,813.00",3,ShopeePay,2,09/01/2023,0,95439
0653F5EB,C77867,Set Pisau Dapur,Rumah Tangga,"484,977.00",2,GoPay,5,09/01/2023,1,969954
BCAC0146,C23797,Celana Jogger,Fashion,"316,454.00",3,COD,5,09/01/2023,0,949362
826B46F2,C99140,Hoodie Polos,Fashion,"189,301.00",2,Transfer Bank,3,09/01/2023,0,378602
E44E7653,C16255,Sarung Jok,Otomotif,"440,844.00",1,Transfer Bank,5,09/01/2023,0,440844
A70F8399,C81582,Tempat Sampah Mini,Rumah Tangga,"171,708.00",3,Transfer Bank,4,09/01/2023,0,515124
93529943,C80797,Termometer Digital,Kesehatan,"112,066.00",2,GoPay,4,09/01/2023,0,224132
12DCF23B,C31620,Wajan Anti Lengket,Rumah Tangga,"187,057.00",1,ShopeePay,1,09/01/2023,0,187057
78CCB584,C16226,Hand Sanitizer,Kesehatan,"15,355.00",3,GoPay,3,09/01/2023,0,46065
F5B31824,C87632,Sarung Jok,Otomotif,"384,095.00",3,Kartu Kredit,4,09/01/2023,0,1152285
C3686346,C28136,Set Pisau Dapur,Rumah Tangga,"275,057.00",2,COD,3,09/01/2023,0,550114
E3D1C29A,C21145,Pengharum Mobil,Otomotif,"189,384.00",3,ShopeePay,2,09/01/2023,0,568152
514CA963,C17381,Set Pisau Dapur,Rumah Tangga,"359,905.00",3,Kartu Kredit,2,09/01/2023,0,1079715
62294F5F,C73843,Sunscreen SPF50,Kecantikan,"119,771.00",2,COD,3,10/01/2023,1,239542
C7E84D72,C39146,Alat Vakum Mini,Otomotif,"226,970.00",1,GoPay,5,10/01/2023,0,226970
C4D8D42F,C60058,Wajan Anti Lengket,Rumah Tangga,"165,311.00",2,Transfer Bank,3,10/01/2023,0,330622
09404D6E,C24438,Mainan Edukasi,Mainan,"120,207.00",1,ShopeePay,4,10/01/2023,0,120207
1A9AEF0D,C28845,Coklat Bubuk,Makanan & Minuman,"470,612.00",2,Kartu Kredit,3,10/01/2023,0,941224
6DC44C74,C46754,Sarung Jok,Otomotif,"497,523.00",3,COD,5,10/01/2023,0,1492569
BC2DFCDA,C18351,Wajan Anti Lengket,Rumah Tangga,"225,495.00",3,Transfer Bank,3,10/01/2023,0,676485
6843DB05,C34197,GPS Tracker,Otomotif,"271,890.00",1,GoPay,3,10/01/2023,0,271890
5E7CC955,C27458,Set Pisau Dapur,Rumah Tangga,"396,128.00",3,COD,5,10/01/2023,0,1188384
64F8CA22,C28492,Masker KF94,Kesehatan,"224,280.00",3,GoPay,2,10/01/2023,0,672840
389A8C3A,C64922,Alat Vakum Mini,Otomotif,"391,340.00",3,Transfer Bank,2,10/01/2023,0,1174020
C007B558,C95941,Puzzle 1000pcs,Mainan,"84,261.00",1,ShopeePay,3,10/01/2023,1,84261
C82B6BD7,C90109,Boneka Anime,Mainan,"23,445.00",2,Kartu Kredit,1,10/01/2023,0,46890
EF67BCCA,C51090,Charger Type-C,Elektronik,"197,080.00",1,ShopeePay,1,10/01/2023,0,197080
C6E849BA,C33097,Dispenser Sabun,Rumah Tangga,"449,682.00",2,GoPay,3,10/01/2023,0,899364
4FA8E20A,C50249,Lipstik Matte,Kecantikan,"57,276.00",1,COD,1,10/01/2023,0,57276
A6BA14F3,C87131,Sarung Jok,Otomotif,"184,856.00",2,COD,4,10/01/2023,0,369712
361D30AF,C65870,Baju Oversize,Fashion,"178,698.00",2,Kartu Kredit,1,10/01/2023,0,357396
13F70D49,C26666,Boneka Anime,Mainan,"171,961.00",2,GoPay,1,10/01/2023,1,343922
F448FB6E,C74217,GPS Tracker,Otomotif,"159,219.00",2,ShopeePay,2,11/01/2023,0,318438
F2703D76,C92468,Pengharum Mobil,Otomotif,"101,891.00",3,GoPay,1,11/01/2023,0,305673
A19D2B8A,C95123,Tempat Sampah Mini,Rumah Tangga,"400,149.00",2,COD,5,11/01/2023,0,800298
284AA9FB,C66536,Set Pisau Dapur,Rumah Tangga,"211,504.00",1,ShopeePay,1,11/01/2023,0,211504
F3CB09E3,C85267,Dispenser Sabun,Rumah Tangga,"14,528.00",2,GoPay,5,11/01/2023,0,29056
8D1A666C,C94017,Hoodie Polos,Fashion,"53,020.00",3,GoPay,1,11/01/2023,0,159060
FADADF5C,C15385,Charger Type-C,Elektronik,"437,275.00",2,ShopeePay,4,11/01/2023,0,874550
D8575EA8,C92814,Kopi Literan,Makanan & Minuman,"218,175.00",1,GoPay,1,11/01/2023,0,218175
78EBAB9B,C11851,Dispenser Sabun,Rumah Tangga,"399,058.00",2,COD,3,11/01/2023,0,798116
1E72E033,C26837,Charger Type-C,Elektronik,"144,278.00",2,Transfer Bank,3,11/01/2023,0,288556
4EEB5086,C62192,Power Bank,Elektronik,"378,987.00",2,GoPay,2,11/01/2023,0,757974
DDC746B8,C27279,Hand Sanitizer,Kesehatan,"173,599.00",1,COD,2,11/01/2023,0,173599
1696EB5D,C25431,Tempat Sampah Mini,Rumah Tangga,"384,904.00",1,ShopeePay,3,11/01/2023,0,384904
C818C9BD,C59059,Mainan Edukasi,Mainan,"390,025.00",3,Kartu Kredit,3,12/01/2023,1,1170075
6D7852AC,C60063,Power Bank,Elektronik,"439,782.00",3,ShopeePay,2,12/01/2023,0,1319346
4522648C,C75601,Foundation,Kecantikan,"454,887.00",3,ShopeePay,2,12/01/2023,0,1364661
7DF62AF5,C52071,Puzzle 1000pcs,Mainan,"201,610.00",2,Kartu Kredit,5,12/01/2023,0,403220
86E4F2FA,C88738,Charger Type-C,Elektronik,"72,661.00",1,GoPay,3,12/01/2023,0,72661
643A32D3,C65980,Puzzle 1000pcs,Mainan,"28,799.00",2,Transfer Bank,5,12/01/2023,0,57598
