order_id,customer_id,product_name,category,price,quantity,payment_method,rating,purchase_date,return_flag
F2B748D8,C85874,GPS Tracker,Otomotif,94138,3,ShopeePay,4,2023-11-10,0
289DB3CD,C98499,Hoodie Polos,Fashion,106033,3,Kartu Kredit,3,2023-05-16,0
AE4FBFD7,C16749,Sunscreen SPF50,Kecantikan,193903,1,Transfer Bank,1,2023-11-24,0
0F07404B,C92283,Granola,Makanan & Minuman,180305,3,Kartu Kredit,3,2023-09-28,0
4F978030,C78223,Mie Instan Premium,Makanan & Minuman,242334,2,ShopeePay,1,2023-08-28,0
9954D96C,C12670,Vitamin C,Kesehatan,196423,2,Transfer Bank,2,2023-11-19,0
590C8286,C22368,Tempat Sampah Mini,Rumah Tangga,139470,1,GoPay,4,2023-07-24,0
B2DF7D99,C62263,Masker KF94,Kesehatan,455473,1,GoPay,5,2023-09-30,0
30047BF7,C28260,Pengharum Mobil,Otomotif,334611,3,Transfer Bank,3,2024-01-17,0
F9A919E4,C96591,Lipstik Matte,Kecantikan,40137,2,COD,4,2024-02-05,0
AD183B8E,C51104,GPS Tracker,Otomotif,387058,2,GoPay,5,2024-02-26,0
6CE225F4,C57738,Hand Sanitizer,Kesehatan,254839,2,COD,4,2023-04-04,0
CD5807C0,C73681,Charger Type-C,Elektronik,449983,3,COD,2,2024-03-04,0
A1E340A6,C13053,Hand Sanitizer,Kesehatan,20117,2,ShopeePay,3,2023-02-06,0
0A6A0D3E,C64661,Puzzle 1000pcs,Mainan,274181,2,Transfer Bank,4,2024-03-13,0
D58615FE,C77498,Smartwatch,Elektronik,181388,2,GoPay,1,2024-02-14,0
F73D6661,C69325,Headphone Bluetooth,Elektronik,486561,3,Kartu Kredit,3,2023-03-17,0
96192F86,C49118,Set Pisau Dapur,Rumah Tangga,247167,3,Kartu Kredit,2,2024-01-01,0
077D51BF,C70500,GPS Tracker,Otomotif,181072,1,COD,3,2023-06-08,0
070EFC2B,C97908,Vitamin C,Kesehatan,381643,2,Transfer Bank,3,2023-10-18,0
757E7769,C97778,Sarung Jok,Otomotif,483782,2,COD,4,2023-11-11,0
4B5E1E56,C62256,Hand Sanitizer,Kesehatan,68877,1,ShopeePay,1,2023-12-19,0
F4274518,C68430,RC Car,Mainan,324837,1,COD,4,2023-08-23,0
D28666C6,C92481,Lipstik Matte,Kecantikan,296929,1,GoPay,2,2023-11-02,0
C2BCC4C3,C46505,Baju Oversize,Fashion,252800,2,Transfer Bank,2,2023-09-17,0
DBFBFD09,C67429,Baju Oversize,Fashion,191270,2,Transfer Bank,1,2023-06-13,0
E4A1C147,C75443,Skincare Toner,Kecantikan,50087,2,Kartu Kredit,1,2023-01-08,0
B5889CA2,C74792,Alat Vakum Mini,Otomotif,200919,2,ShopeePay,2,2023-01-24,0
A7E8343B,C59142,Puzzle 1000pcs,Mainan,88582,3,Transfer Bank,3,2023-08-14,0
63CF83D3,C54938,Sunscreen SPF50,Kecantikan,389090,1,Kartu Kredit,3,2023-12-07,0
9ACE7643,C94590,Alat Vakum Mini,Otomotif,55056,1,Kartu Kredit,3,2024-02-23,0
057250E2,C80737,GPS Tracker,Otomotif,113105,2,Transfer Bank,5,2024-03-11,0
88D35B73,C41991,Granola,Makanan & Minuman,127915,2,COD,3,2024-03-23,0
356D372D,C55457,Vitamin C,Kesehatan,294679,2,Transfer Bank,4,2023-10-09,0
2A431F4D,C30144,Sarung Jok,Otomotif,81024,3,COD,4,2023-07-15,0
08A54CA9,C56920,Masker KF94,Kesehatan,429040,1,Kartu Kredit,5,2023-05-30,0
3A34D9EE,C13353,Coklat Bubuk,Makanan & Minuman,20265,3,Kartu Kredit,3,2023-01-10,0
46F355F3,C48150,Pengharum Mobil,Otomotif,283172,3,COD,3,2023-09-01,0
28D966F3,C98396,Skincare Toner,Kecantikan,70606,2,COD,5,2023-10-16,0
37FE44D6,C55222,Skincare Toner,Kecantikan,347204,1,Kartu Kredit,3,2023-10-14,0
8C114C15,C10454,Lipstik Matte,Kecantikan,434272,1,Transfer Bank,1,2023-11-19,0
3EB5E8C9,C80965,RC Car,Mainan,138478,2,COD,4,2023-05-12,0
046FEA77,C83654,Dispenser Sabun,Rumah Tangga,442292,3,Kartu Kredit,1,2023-04-29,0
D243E5F3,C85933,Celana Jogger,Fashion,41289,1,GoPay,5,2023-05-26,0
25EE3E2F,C37450,Boneka Anime,Mainan,202781,3,ShopeePay,5,2023-08-14,0
2AB22D80,C48828,Granola,Makanan & Minuman,165727,2,Transfer Bank,2,2023-05-16,0
198891A2,C44617,Skincare Toner,Kecantikan,369810,2,GoPay,1,2024-03-12,0
8B366BB5,C69871,Hijab,Fashion,429394,2,Transfer Bank,1,2023-05-21,0
043CD13B,C74452,Lipstik Matte,Kecantikan,116888,2,COD,3,2023-09-17,0
85849A23,C33217,Dispenser Sabun,Rumah Tangga,433087,2,GoPay,5,2023-06-19,1
1DD6FE93,C21931,Lipstik Matte,Kecantikan,383586,1,ShopeePay,2,2023-07-30,0
6D638698,C58241,Foundation,Kecantikan,362005,3,ShopeePay,3,2023-12-04,0
284F3C27,C93044,Sarung Jok,Otomotif,100819,2,Kartu Kredit,4,2024-02-10,0
5FD0EC96,C92027,Kopi Literan,Makanan & Minuman,48848,3,Transfer Bank,5,2023-11-26,0
9256D29B,C46659,Granola,Makanan & Minuman,449793,3,ShopeePay,1,2023-04-17,1
831BD759,C99000,Alat Vakum Mini,Otomotif,245370,1,ShopeePay,2,2024-03-25,0
DB34EE7C,C22129,Boneka Anime,Mainan,220208,1,Kartu Kredit,3,2024-02-07,0
E4AEEA55,C52973,Foundation,Kecantikan,22935,2,COD,3,2023-12-19,0
157A3E16,C25749,Headphone Bluetooth,Elektronik,461677,1,Kartu Kredit,3,2024-03-23,0
EEBF9605,C58791,Sunscreen SPF50,Kecantikan,18300,1,ShopeePay,3,2023-11-14,0
30F4763B,C37089,RC Car,Mainan,148256,2,GoPay,5,2023-06-26,0
F4DB6C11,C30092,Headphone Bluetooth,Elektronik,39930,2,Transfer Bank,5,2023-10-28,0
0B6572A0,C11574,Wajan Anti Lengket,Rumah Tangga,283069,2,Kartu Kredit,2,2023-10-27,0
1FA05288,C77835,Vitamin C,Kesehatan,482131,2,COD,3,2024-01-17,0
1CC74C3A,C75776,Headphone Bluetooth,Elektronik,276377,2,COD,3,2024-02-01,0
0C72C13D,C84534,Coklat Bubuk,Makanan & Minuman,87667,2,COD,2,2024-02-03,0
C9A927FD,C34190,Wajan Anti Lengket,Rumah Tangga,76434,1,ShopeePay,4,2023-01-22,0
6B43973F,C39904,Celana Jogger,Fashion,108352,1,ShopeePay,3,2023-10-04,0
078C4FB2,C52703,Masker KF94,Kesehatan,353074,3,Kartu Kredit,2,2023-10-08,0
A0750F46,C91091,Power Bank,Elektronik,377255,1,ShopeePay,5,2023-05-04,0
D10ADB4E,C67118,Sunscreen SPF50,Kecantikan,464776,1,ShopeePay,4,2023-09-02,0
ADAD2BC3,C74187,RC Car,Mainan,177338,3,GoPay,2,2024-01-19,0
C1B00C32,C28461,Charger Type-C,Elektronik,340097,3,COD,2,2023-02-15,0
98BCE228,C79393,Hijab,Fashion,221727,3,GoPay,1,2023-03-12,0
FFF1F599,C31749,Hijab,Fashion,145069,2,GoPay,4,2023-10-17,0
23B80172,C13465,Lipstik Matte,Kecantikan,370374,2,COD,4,2023-05-09,0
73E81446,C70628,Alat Vakum Mini,Otomotif,341224,3,ShopeePay,3,2023-04-11,0
F5CE6E03,C26883,Masker KF94,Kesehatan,54841,1,COD,4,2023-09-01,0
03862071,C47473,Alat Vakum Mini,Otomotif,477738,2,Kartu Kredit,5,2023-02-16,0
F129C880,C14851,Charger Type-C,Elektronik,65192,2,GoPay,5,2023-03-12,0
EEDF72D9,C52026,Headphone Bluetooth,Elektronik,323706,3,ShopeePay,3,2023-06-25,0
67B5A1D4,C26344,Coklat Bubuk,Makanan & Minuman,352823,1,GoPay,2,2023-01-24,0
FCA9632B,C68239,Pengharum Mobil,Otomotif,202381,1,Kartu Kredit,5,2024-03-16,0
6895C559,C95982,Vitamin C,Kesehatan,217133,3,Transfer Bank,5,2024-02-11,0
31914477,C31923,Puzzle 1000pcs,Mainan,289925,3,ShopeePay,5,2023-10-05,0
46E88F91,C33748,RC Car,Mainan,276606,2,COD,2,2023-10-04,0
420FF58D,C38488,Foundation,Kecantikan,424136,2,ShopeePay,5,2023-01-29,1
20CFB14D,C31615,Foundation,Kecantikan,317284,2,GoPay,4,2023-01-16,0
E592DFB8,C90107,Hand Sanitizer,Kesehatan,61215,3,GoPay,5,2023-08-07,0
C37875F3,C60814,Alat Vakum Mini,Otomotif,497013,1,GoPay,3,2024-03-05,0
7B88626B,C40859,Tempat Sampah Mini,Rumah Tangga,479849,2,ShopeePay,1,2024-02-27,0
B30984DB,C73251,Power Bank,Elektronik,378840,2,GoPay,5,2023-12-27,0
AAE642BA,C35999,Vitamin C,Kesehatan,321989,1,ShopeePay,2,2023-06-11,0
C800E75F,C72196,GPS Tracker,Otomotif,422161,1,GoPay,4,2023-03-06,0
167C8143,C31950,Power Bank,Elektronik,60130,1,COD,5,2024-01-22,0
AD5CAD86,C43000,Lipstik Matte,Kecantikan,354419,2,Kartu Kredit,3,2023-11-27,0
F0AFA71E,C34961,Tempat Sampah Mini,Rumah Tangga,410327,3,GoPay,2,2023-12-07,0
5CF1DC98,C97488,Termometer Digital,Kesehatan,141147,1,Kartu Kredit,2,2023-07-28,0
6A18DC11,C17144,Set Pisau Dapur,Rumah Tangga,294561,1,Kartu Kredit,3,2023-01-24,0
0CB1D2F3,C21593,Pengharum Mobil,Otomotif,200458,1,ShopeePay,2,2023-08-28,0
6FE75CC2,C53682,Foundation,Kecantikan,141717,2,Transfer Bank,2,2023-05-20,0
0B1499AF,C24872,Mie Instan Premium,Makanan & Minuman,143799,2,COD,1,2023-08-03,0
BC4EF618,C36878,RC Car,Mainan,229512,1,ShopeePay,5,2023-01-05,0
B24B9E66,C12570,Puzzle 1000pcs,Mainan,329704,3,Kartu Kredit,3,2023-05-18,0
2E12E0BE,C27367,Set Pisau Dapur,Rumah Tangga,300360,2,Transfer Bank,4,2024-02-12,0
84CDDD90,C84580,Baju Oversize,Fashion,276616,3,Transfer Bank,3,2024-03-15,0
0EF6E0EE,C89757,Celana Jogger,Fashion,37027,3,COD,5,2023-06-28,0
1F489AD3,C56590,Hand Sanitizer,Kesehatan,314707,3,COD,1,2024-02-02,0
9EDED213,C21089,Mie Instan Premium,Makanan & Minuman,316420,2,ShopeePay,3,2023-10-31,0
D88B7416,C40853,Alat Vakum Mini,Otomotif,369197,3,Transfer Bank,3,2023-09-19,0
B28EE6EA,C55697,Tempat Sampah Mini,Rumah Tangga,406066,1,COD,2,2024-02-29,0
0A0913CD,C65919,Boneka Anime,Mainan,90422,3,COD,2,2023-10-09,0
52C53DB4,C30663,Sunscreen SPF50,Kecantikan,118226,2,COD,2,2024-02-18,0
39A8C0DE,C62115,Mainan Edukasi,Mainan,306347,2,ShopeePay,3,2024-02-13,0
CA9D6EB4,C94723,Puzzle 1000pcs,Mainan,226823,3,GoPay,1,2023-06-21,0
D5339C62,C66181,Charger Type-C,Elektronik,119211,2,ShopeePay,1,2023-11-09,0
B74A6A5C,C35873,Mainan Edukasi,Mainan,345361,3,ShopeePay,3,2023-07-20,0
18B95466,C19809,Sunscreen SPF50,Kecantikan,18713,2,ShopeePay,3,2023-02-16,0
2BC7F8CC,C48078,Mainan Edukasi,Mainan,276814,3,ShopeePay,1,2023-11-17,0
474CB595,C40633,Hand Sanitizer,Kesehatan,446096,3,GoPay,2,2023-12-03,0
7F46DAA6,C17586,Coklat Bubuk,Makanan & Minuman,343748,3,GoPay,1,2023-01-05,0
8FC79389,C73805,Vitamin C,Kesehatan,485282,2,COD,2,2023-09-27,0
CD2D1BE8,C34367,Coklat Bubuk,Makanan & Minuman,188273,1,GoPay,4,2024-02-04,1
5DF699E2,C31865,Termometer Digital,Kesehatan,233205,3,Kartu Kredit,1,2023-08-11,0
0A9CADFF,C54772,Baju Oversize,Fashion,254735,3,GoPay,5,2024-01-26,1
357E30DC,C42205,Puzzle 1000pcs,Mainan,93928,2,Transfer Bank,1,2023-10-24,0
D9065C59,C68758,Hijab,Fashion,371882,3,ShopeePay,2,2023-08-12,0
C22A67BA,C80959,Foundation,Kecantikan,352395,3,Kartu Kredit,3,2023-04-02,1
C07E3A64,C50110,Celana Jogger,Fashion,353941,3,Kartu Kredit,2,2023-10-13,0
57A0EAA0,C51476,Mainan Edukasi,Mainan,116801,1,Transfer Bank,5,2023-03-11,0
20CC16AE,C21507,Boneka Anime,Mainan,287982,1,Kartu Kredit,1,2023-05-18,0
6C9911AC,C78492,Skincare Toner,Kecantikan,56945,3,ShopeePay,2,2024-02-13,0
F6313700,C21027,Masker KF94,Kesehatan,410166,2,ShopeePay,4,2024-01-28,0
9A1CA13F,C36588,Foundation,Kecantikan,151956,1,Transfer Bank,3,2023-09-06,0
33D81D9C,C79539,Skincare Toner,Kecantikan,300158,2,COD,2,2023-09-12,0
6786D7AA,C57209,Lipstik Matte,Kecantikan,144836,2,ShopeePay,1,2023-11-27,0
012671CE,C91444,Set Pisau Dapur,Rumah Tangga,430350,1,Transfer Bank,1,2024-03-09,0
07474EF2,C46790,Boneka Anime,Mainan,308782,2,Transfer Bank,1,2024-03-21,0
4D705055,C28151,Kopi Literan,Makanan & Minuman,449605,2,Transfer Bank,1,2023-08-27,0
593CF033,C16714,Power Bank,Elektronik,58815,2,Transfer Bank,5,2023-07-28,0
F901D27F,C82824,Wajan Anti Lengket,Rumah Tangga,147235,3,Transfer Bank,2,2023-08-28,1
AEFC538F,C97389,Puzzle 1000pcs,Mainan,353457,2,Transfer Bank,3,2023-09-29,0
EE2ECD1C,C58692,Power Bank,Elektronik,28282,1,ShopeePay,5,2024-02-17,0
02F37354,C65269,Mie Instan Premium,Makanan & Minuman,296677,3,GoPay,5,2024-03-25,0
D6F6EC25,C84076,Mie Instan Premium,Makanan & Minuman,429440,2,Transfer Bank,3,2024-01-10,0
21A720C3,C28576,Hand Sanitizer,Kesehatan,400968,3,Kartu Kredit,5,2023-07-30,0
2567B7DD,C11547,Tempat Sampah Mini,Rumah Tangga,463204,1,Kartu Kredit,4,2023-05-06,0
5FA4F34C,C51374,Granola,Makanan & Minuman,229099,3,Transfer Bank,3,2023-10-20,0
8893BD18,C88398,Hand Sanitizer,Kesehatan,278575,2,ShopeePay,3,2023-10-27,0
C57DF74D,C60862,Charger Type-C,Elektronik,193757,1,ShopeePay,3,2024-03-04,0
CDD34DBA,C70133,Power Bank,Elektronik,433841,3,GoPay,1,2023-09-20,0
65F807C4,C76446,Hand Sanitizer,Kesehatan,183663,3,GoPay,2,2023-02-12,0
B71F1F85,C61466,Mainan Edukasi,Mainan,464826,3,ShopeePay,5,2023-10-21,0
A98BD5B9,C16030,Foundation,Kecantikan,417437,3,Transfer Bank,5,2023-01-21,0
DEAFFBE1,C44527,Boneka Anime,Mainan,468211,1,Kartu Kredit,3,2023-11-28,0
7D7C79F1,C23747,Masker KF94,Kesehatan,20671,1,COD,5,2023-10-17,0
D8DED5FB,C13666,Baju Oversize,Fashion,492967,3,Kartu Kredit,5,2023-06-03,0
EE4A7CE8,C84667,Granola,Makanan & Minuman,443956,2,ShopeePay,5,2023-03-23,0
715DCA20,C25891,RC Car,Mainan,228256,1,COD,5,2023-12-10,0
6509533B,C49124,Wajan Anti Lengket,Rumah Tangga,312495,3,COD,3,2023-12-02,1
035BC558,C82601,Foundation,Kecantikan,223431,3,ShopeePay,1,2023-11-18,0
45498DCC,C42116,Smartwatch,Elektronik,378778,2,ShopeePay,4,2023-04-15,0
B0C305CF,C75867,Termometer Digital,Kesehatan,128315,3,Kartu Kredit,2,2023-07-18,0
8038895F,C50014,Puzzle 1000pcs,Mainan,353652,2,Transfer Bank,4,2023-07-07,0
6078ECB4,C86541,Termometer Digital,Kesehatan,437555,1,GoPay,1,2023-08-26,0
9DDF397C,C51804,Granola,Makanan & Minuman,284992,3,Transfer Bank,2,2023-08-14,0
60612EBB,C89687,Hijab,Fashion,430006,1,Kartu Kredit,2,2023-03-06,0
1E50792D,C31602,Headphone Bluetooth,Elektronik,301028,3,COD,3,2023-06-12,0
C9FAAC62,C83021,Wajan Anti Lengket,Rumah Tangga,413878,2,ShopeePay,1,2024-02-04,0
A55D6BCA,C46346,Alat Vakum Mini,Otomotif,78162,1,ShopeePay,5,2023-02-14,0
639B2B8B,C54816,Masker KF94,Kesehatan,392955,2,Kartu Kredit,3,2023-05-17,0
4DDAB4D9,C74760,GPS Tracker,Otomotif,168596,2,Transfer Bank,3,2023-05-04,0
4A2EF0AA,C47955,Lipstik Matte,Kecantikan,31016,1,Kartu Kredit,5,2023-06-20,0
463F1232,C96509,Lipstik Matte,Kecantikan,395980,1,Kartu Kredit,1,2023-12-30,0
B67AEC02,C31656,Dispenser Sabun,Rumah Tangga,404586,1,Kartu Kredit,4,2023-01-09,0
C43CE964,C50452,Hoodie Polos,Fashion,83025,1,GoPay,4,2024-01-25,0
9BE0D574,C64873,Baju Oversize,Fashion,381618,3,ShopeePay,2,2023-08-31,0
2C7539BE,C65740,Foundation,Kecantikan,31813,3,ShopeePay,2,2023-04-14,0
0653F5EB,C77867,Set Pisau Dapur,Rumah Tangga,484977,2,GoPay,5,2023-08-03,1
BCAC0146,C23797,Celana Jogger,Fashion,316454,3,COD,5,2023-09-04,0
826B46F2,C99140,Hoodie Polos,Fashion,189301,2,Transfer Bank,3,2023-07-03,0
E44E7653,C16255,Sarung Jok,Otomotif,440844,1,Transfer Bank,5,2023-11-03,0
A70F8399,C81582,Tempat Sampah Mini,Rumah Tangga,171708,3,Transfer Bank,4,2023-05-21,0
93529943,C80797,Termometer Digital,Kesehatan,112066,2,GoPay,4,2023-06-24,0
12DCF23B,C31620,Wajan Anti Lengket,Rumah Tangga,187057,1,ShopeePay,1,2023-11-22,0
78CCB584,C16226,Hand Sanitizer,Kesehatan,15355,3,GoPay,3,2023-03-29,0
F5B31824,C87632,Sarung Jok,Otomotif,384095,3,Kartu Kredit,4,2023-03-11,0
C3686346,C28136,Set Pisau Dapur,Rumah Tangga,275057,2,COD,3,2023-11-22,0
E3D1C29A,C21145,Pengharum Mobil,Otomotif,189384,3,ShopeePay,2,2023-01-25,0
514CA963,C17381,Set Pisau Dapur,Rumah Tangga,359905,3,Kartu Kredit,2,2023-05-30,0
62294F5F,C73843,Sunscreen SPF50,Kecantikan,119771,2,COD,3,2024-02-02,1
C7E84D72,C39146,Alat Vakum Mini,Otomotif,226970,1,GoPay,5,2023-11-27,0
C4D8D42F,C60058,Wajan Anti Lengket,Rumah Tangga,165311,2,Transfer Bank,3,2024-01-03,0
09404D6E,C24438,Mainan Edukasi,Mainan,120207,1,ShopeePay,4,2023-05-04,0
1A9AEF0D,C28845,Coklat Bubuk,Makanan & Minuman,470612,2,Kartu Kredit,3,2023-09-10,0
6DC44C74,C46754,Sarung Jok,Otomotif,497523,3,COD,5,2023-05-31,0
BC2DFCDA,C18351,Wajan Anti Lengket,Rumah Tangga,225495,3,Transfer Bank,3,2023-12-30,0
6843DB05,C34197,GPS Tracker,Otomotif,271890,1,GoPay,3,2023-03-03,0
5E7CC955,C27458,Set Pisau Dapur,Rumah Tangga,396128,3,COD,5,2023-09-03,0
64F8CA22,C28492,Masker KF94,Kesehatan,224280,3,GoPay,2,2023-11-07,0
389A8C3A,C64922,Alat Vakum Mini,Otomotif,391340,3,Transfer Bank,2,2023-11-10,0
C007B558,C95941,Puzzle 1000pcs,Mainan,84261,1,ShopeePay,3,2023-08-31,1
C82B6BD7,C90109,Boneka Anime,Mainan,23445,2,Kartu Kredit,1,2023-09-10,0
EF67BCCA,C51090,Charger Type-C,Elektronik,197080,1,ShopeePay,1,2023-04-18,0
C6E849BA,C33097,Dispenser Sabun,Rumah Tangga,449682,2,GoPay,3,2023-08-05,0
4FA8E20A,C50249,Lipstik Matte,Kecantikan,57276,1,COD,1,2024-03-10,0
A6BA14F3,C87131,Sarung Jok,Otomotif,184856,2,COD,4,2023-12-05,0
361D30AF,C65870,Baju Oversize,Fashion,178698,2,Kartu Kredit,1,2024-01-17,0
13F70D49,C26666,Boneka Anime,Mainan,171961,2,GoPay,1,2023-02-15,1
F448FB6E,C74217,GPS Tracker,Otomotif,159219,2,ShopeePay,2,2024-01-10,0
F2703D76,C92468,Pengharum Mobil,Otomotif,101891,3,GoPay,1,2023-08-24,0
A19D2B8A,C95123,Tempat Sampah Mini,Rumah Tangga,400149,2,COD,5,2023-09-13,0
284AA9FB,C66536,Set Pisau Dapur,Rumah Tangga,211504,1,ShopeePay,1,2023-12-23,0
F3CB09E3,C85267,Dispenser Sabun,Rumah Tangga,14528,2,GoPay,5,2023-11-04,0
8D1A666C,C94017,Hoodie Polos,Fashion,53020,3,GoPay,1,2023-03-11,0
FADADF5C,C15385,Charger Type-C,Elektronik,437275,2,ShopeePay,4,2023-10-05,0
D8575EA8,C92814,Kopi Literan,Makanan & Minuman,218175,1,GoPay,1,2023-04-17,0
78EBAB9B,C11851,Dispenser Sabun,Rumah Tangga,399058,2,COD,3,2023-04-02,0
1E72E033,C26837,Charger Type-C,Elektronik,144278,2,Transfer Bank,3,2023-05-12,0
4EEB5086,C62192,Power Bank,Elektronik,378987,2,GoPay,2,2024-02-17,0
DDC746B8,C27279,Hand Sanitizer,Kesehatan,173599,1,COD,2,2023-11-23,0
1696EB5D,C25431,Tempat Sampah Mini,Rumah Tangga,384904,1,ShopeePay,3,2023-07-30,0
C818C9BD,C59059,Mainan Edukasi,Mainan,390025,3,Kartu Kredit,3,2023-07-23,1
6D7852AC,C60063,Power Bank,Elektronik,439782,3,ShopeePay,2,2023-09-10,0
4522648C,C75601,Foundation,Kecantikan,454887,3,ShopeePay,2,2023-05-13,0
7DF62AF5,C52071,Puzzle 1000pcs,Mainan,201610,2,Kartu Kredit,5,2023-10-26,0
86E4F2FA,C88738,Charger Type-C,Elektronik,72661,1,GoPay,3,2023-06-23,0
643A32D3,C65980,Puzzle 1000pcs,Mainan,28799,2,Transfer Bank,5,2023-12-06,0
F0E75451,C67263,Foundation,Kecantikan,379851,1,ShopeePay,4,2024-01-21,0
8653DEF8,C96668,Masker KF94,Kesehatan,163656,3,COD,4,2023-12-01,0
08A795DE,C89513,GPS Tracker,Otomotif,161558,1,COD,3,2023-03-29,0
A49A07E5,C57779,Vitamin C,Kesehatan,196713,1,ShopeePay,3,2023-11-06,0
610564FF,C49783,Hand Sanitizer,Kesehatan,46756,3,ShopeePay,2,2023-08-14,0
65464E7B,C14922,Kopi Literan,Makanan & Minuman,411812,2,COD,2,2024-02-22,0
40B3735A,C11666,Pengharum Mobil,Otomotif,209362,2,Kartu Kredit,4,2023-03-19,0
1673CB86,C86394,Granola,Makanan & Minuman,401818,2,GoPay,2,2024-01-07,0
A31CD7A9,C27517,Puzzle 1000pcs,Mainan,350849,3,COD,5,2023-12-17,0
69110E9D,C81174,Kopi Literan,Makanan & Minuman,232526,2,COD,5,2023-11-10,0
75DF1CE2,C81594,GPS Tracker,Otomotif,162935,1,ShopeePay,1,2023-05-31,0
C5AE2983,C62260,Sunscreen SPF50,Kecantikan,451144,3,COD,4,2023-10-25,0
F48A061B,C64570,Smartwatch,Elektronik,279123,3,GoPay,4,2023-02-25,0
9194D7CF,C27931,Sunscreen SPF50,Kecantikan,390098,1,COD,4,2023-10-28,0
064C7BAD,C83671,Tempat Sampah Mini,Rumah Tangga,16653,1,Transfer Bank,3,2023-02-24,0
39AF1607,C20244,Granola,Makanan & Minuman,190346,2,GoPay,1,2023-04-29,0
6A7473DF,C10249,Charger Type-C,Elektronik,346920,1,Transfer Bank,4,2023-07-04,0
7BC27E85,C56766,Mie Instan Premium,Makanan & Minuman,148651,1,Kartu Kredit,4,2023-03-14,0
713E19D7,C64405,Vitamin C,Kesehatan,218770,1,COD,5,2023-09-03,0
79C1B3FC,C53314,Coklat Bubuk,Makanan & Minuman,493214,2,COD,5,2023-10-08,0
91D4E8F9,C46569,Sunscreen SPF50,Kecantikan,53175,3,Kartu Kredit,1,2023-03-21,0
E8B9EC7E,C75458,Hijab,Fashion,288034,3,Kartu Kredit,5,2024-03-03,0
5B7249A2,C31320,Hijab,Fashion,427052,3,ShopeePay,1,2023-08-24,0
5A85B624,C29492,Hand Sanitizer,Kesehatan,168647,1,Kartu Kredit,5,2023-07-09,0
49AF2B3B,C33671,Lipstik Matte,Kecantikan,340402,1,ShopeePay,5,2023-08-14,0
AD12573D,C91163,GPS Tracker,Otomotif,237020,1,ShopeePay,2,2023-09-25,1
14142B60,C15230,Masker KF94,Kesehatan,235443,2,Kartu Kredit,3,2024-01-08,0
CE2F1EE9,C28805,RC Car,Mainan,490708,1,ShopeePay,1,2023-12-27,0
F2B5A565,C87310,Vitamin C,Kesehatan,376977,2,Kartu Kredit,1,2024-02-01,0
35B240B4,C41626,Foundation,Kecantikan,103932,1,COD,2,2023-01-03,0
F75B80F4,C30477,Lipstik Matte,Kecantikan,182778,1,GoPay,5,2023-03-31,0
AD4B82C2,C76361,Baju Oversize,Fashion,216670,1,ShopeePay,2,2023-01-11,0
055A8274,C59791,Pengharum Mobil,Otomotif,118940,3,Kartu Kredit,5,2024-01-12,0
5D4C37AB,C34140,Coklat Bubuk,Makanan & Minuman,423306,1,COD,1,2023-03-04,0
77D5BA5D,C96018,Celana Jogger,Fashion,177911,2,COD,5,2023-11-23,0
5AE53614,C67676,Skincare Toner,Kecantikan,122289,3,COD,4,2023-01-11,0
85255837,C29054,Celana Jogger,Fashion,320602,2,COD,5,2023-04-28,0
73FB1641,C15620,Charger Type-C,Elektronik,215356,3,GoPay,2,2023-07-18,1
